"iata_code";"language_id";"name"
"AIU";"EN";"Atiu Island Airport"
"AIV";"EN";"Aliceville George Downer Airport"
"AIW";"EN";"Ai-Ais Airport"
"AIY";"EN";"Atlantic City Bader Field Airport"
"AIZ";"EN";"Lee C Fine Memorial Apt"
"AJA";"EN";"Ajaccio Napoleon Bonaparte Airport"
"AJF";"EN";"Jouf Airport"
"AJI";"EN";"Agri Airport"
"AJJ";"EN";"Akjoujt Airport"
"AJK";"EN";"Arak Araak Airport"
"AJL";"EN";"Aizawl Lengpui Airport"
"AJN";"EN";"Anjouan Ouani Airport"
"AJR";"EN";"Arvidsjaur Airport"
"AJS";"EN";"Punta Abreojos Airport"
"AJU";"EN";"Aracaju Santa Maria Airport"
"AJY";"EN";"Agadez Manu Dayak Intl Airport"
"AKA";"EN";"Ankang Wulipu Airport"
"AKB";"EN";"Atka Airport"
"AKC";"EN";"Akron/Canton Akron Fulton Intl Airport"
"AKD";"EN";"Akola Airport"
"AKE";"EN";"Akieni Airport"
"AKF";"EN";"Kufra Airport"
"AKG";"EN";"Anguganak Airport"
"AKH";"EN";"Al Kharj Prince Sultan AB Airport"
"AKI";"EN";"Akiak Airport"
"AKJ";"EN";"Asahikawa Airport"
"AKK";"EN";"Akhiok Airport"
"AKL";"EN";"Auckland International Airport"
"AKM";"EN";"Zakouma Airport"
"AKN";"EN";"King Salmon Airport"
"AKO";"EN";"Akron Colorado Plains Rgnl Airport"
"AKP";"EN";"Anaktuvuk Pass Airport"
"AKQ";"EN";"Menggala Astra Ksetra Airport"
"AKR";"EN";"Akure Airport"
"AKS";"EN";"Auki Gwaunaru'u Airport"
"AKT";"EN";"Akrotiri RAF Station Airport"
"AKU";"EN";"Aksu Airport"
"AKV";"EN";"Akulivik Airport"
"AKW";"EN";"Aghajari Airport"
"AKX";"EN";"Aktobe Airport"
"AKY";"EN";"Sittwe Airport"
"ALA";"EN";"Almaty International Airport"
"ALB";"EN";"Albany International Airport"
"ALC";"EN";"Alicante Airport"
"ALD";"EN";"Alerta Airport"
"ALE";"EN";"Alpine Casparis Municipal Airport"
"ALF";"EN";"Alta Airport"
"ALG";"EN";"Algiers Houari Boumediene Airport"
"ALH";"EN";"Albany Airport"
"ALI";"EN";"Alice International Airport"
"ALJ";"EN";"Alexander Bay Airport"
"ALK";"EN";"Asela Airport"
"ALL";"EN";"Albenga Airport"
"ALM";"EN";"Alamogordo White Sands Regional Airport"
"ALN";"EN";"Alton St Louis Regional Airport"
"ALO";"EN";"Waterloo Regional Airport"
"ALP";"EN";"Aleppo International Airport"
"ALQ";"EN";"Alegrete G.Machado Ramos Airport"
"ALR";"EN";"Alexandra Airport"
"ALS";"EN";"Alamosa San Luis Valley Rgnl Airport"
"ALT";"EN";"Alenquer Airport"
"ALU";"EN";"Alula Airport"
"ALV";"EN";"Andorra la Vella Off-line Point"
"ALW";"EN";"Walla Walla Regional Airport"
"ALX";"EN";"Thomas C Russell Field Apt"
"ALY";"EN";"Alexandria El Nouzha Airport"
"ALZ";"EN";"Alitak Sea Plane Base Airport"
"AMA";"EN";"Amarillo Rick Husband Intl Airport"
"AMB";"EN";"Ambilobe Airport"
"AMC";"EN";"Am Timan Airport"
"AMD";"EN";"Ahmedabad S.VallabhBhai Patel Airport"
"AME";"EN";"Alto Molocue Airport"
"AMF";"EN";"Ama Airport"
"AMG";"EN";"Amboin Airport"
"AMH";"EN";"Arba Minch Airport"
"AMI";"EN";"Mataram Selaparang Airport"
"AMJ";"EN";"Almenara Cirilo Queiroz Airport"
"AMK";"EN";"Durango Animas Air Park Airport"
"AML";"EN";"Puerto Armuelles Airport"
"AMM";"EN";"Amman Queen Alia Intl Airport"
"AMN";"EN";"Alma Gratiot Community Airport"
"AMO";"EN";"Mao Airport"
"AMP";"EN";"Ampanihy Airport"
"AMQ";"EN";"Ambon Pattimura Airport"
"AMR";"EN";"Almeria Railway Station"
"AMS";"EN";"Amsterdam Schiphol Airport"
"AMT";"EN";"Amata Airport"
"AMU";"EN";"Amanab Airport"
"AMV";"EN";"Amderma Airport"
"AMW";"EN";"Ames Municipal Airport"
"AMX";"EN";"Ammaroo Airport"
"AMY";"EN";"Ambatomainty Airport"
"AMZ";"EN";"Ardmore Airport"
"ANA";"EN";"Angama Mara Airport"
"ANB";"EN";"Anniston Regional Airport"
"ANC";"EN";"Anchorage Ted Stevens Intl Airport"
"AND";"EN";"Anderson Regional Airport"
"ANE";"EN";"Angers Marce Airport"
"ANF";"EN";"Antofagasta Cerro Moreno Airport"
"ANG";"EN";"Angouleme Brie-Champniers Airport"
"ANI";"EN";"Aniak Airport"
"ANJ";"EN";"Zanaga Airport"
"ANK";"EN";"Ankara Etimesgut Airport"
"ANL";"EN";"Andulo Airport"
"ANM";"EN";"Antalaha Antsirabato Airport"
"ANN";"EN";"Annette Island Airport"
"ANO";"EN";"Angoche Airport"
"ANP";"EN";"Annapolis Lee Airport"
"ANQ";"EN";"Angola Tri-State Steuben Co. Airport"
"ANR";"EN";"Antwerp International Airport"
"ANS";"EN";"Andahuaylas Airport"
"ANT";"EN";"St Anton Heliport"
"ANU";"EN";"Antigua V.C. Bird Intl Airport"
"ANV";"EN";"Anvik Airport"
"ANW";"EN";"Ainsworth Regional Airport"
"ANX";"EN";"Andenes Andoya Airport"
"ANY";"EN";"Anthony Municipal Airport"
"ANZ";"EN";"Angus Downs Station Airport"
"AOA";"EN";"Aroa Airport"
"AOB";"EN";"Annanberg Airport"
"AOC";"EN";"Altenburg Nobitz Airport"
"AOD";"EN";"Abou Deia Airport"
"AOE";"EN";"Eskisehir Anadolu Airport"
"AOG";"EN";"Anshan Teng'ao Airport"
"AOH";"EN";"Lima Allen County Airport"
"AOI";"EN";"Ancona Falconara Airport"
"AOJ";"EN";"Aomori Airport"
"AOK";"EN";"Karpathos Airport"
"AOL";"EN";"Paso de los Libres Airport"
"AOM";"EN";"Adam Airport"
"AON";"EN";"Arona Airport"
"AOO";"EN";"Altoona Airport"
"AOP";"EN";"Andoas Alfredo V. Sara Bauer Airport"
"AOQ";"EN";"Aappilattoq-Upernavik Heliport"
"AOR";"EN";"Alor Setar Sultan Abdul Halim Airport"
"AOS";"EN";"Amook Bay Sea Plane Base Airport"
"AOT";"EN";"Aosta Corrado Gex Airport"
"AOU";"EN";"Attapeu Airport"
"APA";"EN";"Denver Centennial Airport"
"APB";"EN";"Apolo Airport"
"APC";"EN";"Napa County Airport"
"APF";"EN";"Naples Municipal Airport"
"APG";"EN";"Aberdeen Phillips AAF Airport"
"APH";"EN";"Bowling Green A.P. Hill AAF Airport"
"API";"EN";"Apiay Luis F. Gomez Nino AB Airport"
"APK";"EN";"Apataki Airport"
"APL";"EN";"Nampula Airport"
"APN";"EN";"Alpena County Regional Airport"
"APO";"EN";"Apartado Carepa-A.R. Betancourt Airport"
"APP";"EN";"Asapa Airport"
"APQ";"EN";"Arapiraca Airport"
"APR";"EN";"April River Airport"
"APS";"EN";"Anapolis Airport"
"APT";"EN";"Jasper Marion County Airport"
"APU";"EN";"Apucarana Captain Joao Busse Airport"
"APV";"EN";"Apple Valley Airport"
"APW";"EN";"Apia Faleolo Intl Airport"
"APX";"EN";"Arapongas Alberto Bertelli Airport"
"APY";"EN";"Alto Parnaiba Airport"
"APZ";"EN";"Zapala Airport"
"AQA";"EN";"Araraquara Bartolomeu de Gusmao Airport"
"AQB";"EN";"Quiche Airport"
"AQG";"EN";"Anqing Tianzhushan Airport"
"AQI";"EN";"Qaisumah Hafar al Batin Airport"
"AQJ";"EN";"Aqaba King Hussein Intl Airport"
"AQL";"EN";"Almeria Bus Station"
"AQM";"EN";"Ariquemes Airport"
"AQP";"EN";"Arequipa Rodriguez Ballon Intl Airport"
"AQS";"EN";"Saqani Airport"
"AQY";"EN";"Girdwood Airport"
"ARA";"EN";"New Iberia Acadiana Regional Airport"
"ARB";"EN";"Ann Arbor Municipal Airport"
"ARC";"EN";"Arctic Village Airport"
"ARD";"EN";"Alor Mali Airport"
"ARE";"EN";"Arecibo Antonio Juarbe Pol Airport"
"ARF";"EN";"Acaricuara Airport"
"ARG";"EN";"Walnut Ridge Regional Airport"
"ARH";"EN";"Arkhangelsk Talagi Airport"
"ARI";"EN";"Arica Chacalluta Airport"
"ARJ";"EN";"Arso Airport"
"ARK";"EN";"Arusha Airport"
"ARL";"EN";"Arly Airport"
"ARM";"EN";"Armidale Airport"
"ARN";"EN";"Stockholm Arlanda Airport"
"ARO";"EN";"Arboletes Airport"
"ARP";"EN";"Aragip Airport"
"ARQ";"EN";"Arauquita El Troncal Airport"
